	A04693	NUIST	Nanjing University of Information Science and Technology, China
	A04694	CUP Dongying	China University of Petroleum, Dongying
	A04695	SW Inst Phy China	Southwestern Institute of Physics, China
	A04696	Shijiazhuang U	Shijiazhuang University, China
	A04697	Huaiyin Norm U	Huaiyin Normal University, China
	A04698	Guizhou U	Guizhou University, China
	A04699	GUET	Guilin University of Electronic Technology, China
	A04700	Zhejiang Oc U	Zhejiang Ocean University, China
	A04701	IMEC	Interuniversity Micro-Electronic Center, Belgium
	A04702	Chin Nav Ac	Chinese Naval Academy
	A04703	BGR Erlangen	Central Seismological Observatory, Erlangen, Germany
	A04704	PPCU	Peter Pazmany Catholic University, Budapest, Hungary
	A04705	NUS	National University of Singapore
A04705	A04706	SMART	Singapore-MIT Alliance for Research and Technology Center
A04705	A04707	Dep Phy	National University of Singapore, Department of Physics
	A04708	GC U Faisalabad	Government College University Faisalabad, Pakistan
	A04709	Tripura U	Tripura University, India
	A04710	NGI	Norwegian Geotechnical Institute
	A04711	NORSAR	NORSAR, Norwegian Technical Science Research Council
	A04712	Span Natl Obs Madrid	Spanish National Observatory, Madrid
	A04713	Komazawa U	Komazawa University, Japan
	A04714	JMA	Japan Meteorological Agency
A04714	A04715	Kakioka Magn Obs	JMA, Kakioka Magnetic Observatory
A04714	A04716	Sapporo Met Obs	JMA, Sapporo District Meteorological Observatory
A04714	A04717	Fukuoka Met Obs	JMA, Fukuoka District Meteorological Observatory
A04714	A04718	Osaka Met Obs	JMA, Osaka District Meteorological Observatory
A04714	A04719	Sendai Met Obs	JMA, Sendai District Meteorological Observatory
A04714	A04720	Matsushiro Seis Obs	JMA, Matsushiro Seismological Observatory
A04714	A04721	MRI Tsukuba	JMA, Meteorological Research Institute, Tsukuba
	A04722	Future U Hakodate	Future University Hakodate, Japan
	A04723	RTRI	Railway Technical Research Institute, Japan
	A04724	Hot Springs Res Inst	Hot Springs Research Institute, Japan
	A04725	NRIFS	National Research Institute of Fisheries Science, Japan
	A04726	NIED	National Research Center for Disaster Prevention, Japan
	A04727	Sumitomo Elec	Sumitomo Electric Industries Ltd, Japan
	A04728	Nagoya Wmns U	Nagoya Womens University, Japan
	A04729	Met Coll Japan	Meteorological College, Japan
	A04730	RITE	Research Institute of Innovative Technology for the Earth, Japan
	A04731	GSI	Geospatial Information Authority of Japan
	A04732	UNIOESTE	State University of West Para, Brazil
	A04733	CEFET RJ	Federal Center of Technological Education, Rio de Janeiro, Brazil
	A04734	CEFET BA	Federal Center of Technological Education, Bahia, Brazil
	A04735	CEFET SL	Federal University of Technology, Sao Luis Maranhao, Brazil
	A04736	CEFET PR	Federal University of Technology, Parana, Brazil
	A04737	CEFET MG	Federal Center of Technological Education, Minas Gerais, Brazil
	A04739	UESC	Santa Cruz State University, Brazil
	A04740	UFABC	Federal University of ABC, Brazil
	A04741	UDESC	University of Santa Catarina State, Brazil
	A04742	UFSJ	Federal University of Sao Joao, Brazil
	A04743	UFERSA	Federal Rural University of the Semi-Arid, Brazil
	A04744	UFT	Federal University of Tocantins, Brazil
	A04745	UFS	Federal University of Sergipe, Brazil
	A04746	U Split	University of Split, Croatia
	A04747	Ac Sci Moldova	Academy of Sciences of Moldova
A04747	A06617	IAP Moldova	Institute of Applied Physics, Moldova
	A04748	U Zilina	University of Zilina, Slovakia
	A04749	Armenian NAS	Armenian National Academy of Sciences
A04749	A04750	Byurakan Ast Obs	Byurakan Astrophysical Observatory
A04749	A11452	Garny Sp Ast Inst	Garny Space Astronomy Institute
	A04751	Phil U Nitra	Philosopher University of Nitra, Slovakia
	A04752	PLA	People's Liberation Army, China
A04752	A01899	Nanjing UST	People's Liberation Army, Nanjing University of Science and Technology, China
A04752	A04753	Air Force Eng U	Air Force Engineering University, China
A04752	A05813	S Med U	People's Liberation Army, Southern Medical University, China
A04752	A05814	SMMU	People's Liberation Army, Second Military Medical University, China
A04752	A05815	TMMU	People's Liberation Army, Third Military Medical University, China
A04752	A05816	FMMU	People's Liberation Army, Fourth Military Medical University, China
A04752	A05817	NUE	Naval University of Engineering, Wuhan
A04752	A05818	SEU	People's Liberation Army, Space Engineering University, Beijing
A04752	A05819	IEU	People's Liberation Army, Information Engineering University, Zhengzhou
	A04754	CAGS	Chinese Academy of Geological Sciences
A04754	A04755	Inst Geo	CAGS, Institute of Geology
	A04756	China U Petro	China University of Petroleum, Beijing
	A04757	Dalian U	Dalian University, China
	A04758	Nanjing For U	Nanjing Forestry University, China
	A04759	Shanghai Oc U	Shanghai Ocean University, China
	A04760	SW Petro U	Southwest Petroleum University, China
	A04761	Chin Ac For	Chinese Academy of Forestry
	A04762	Beijing U Agr	Beijing University of Agriculture, China
	A04763	CMA	China Meteorological Administration
A04763	A04764	China Ac Met Sci	CMA, China Academy of Meteorological Sciences
A04763	A04816	Natl Sp Sci Ctr	CAS, National Space Science Center, Beijing
	A04766	Chengdu U	Chengdu University, China
	A04767	Changchun U	Changchun University, China
	A04768	SDUST	Shandong University of Science and Technology, China
	A04769	Ryl Obs Belgium	Royal Observatory of Belgium
A04769	A11243	Dep Sol Phy	Royal Observatory of Belgium, Department of Solar Physics
	A04770	Ryl Mil Ac Belgium	Royal Military Academy of Belgium
	A04771	Belgian Nuc Res Ctr	Belgian Nuclear Research Centre
	A04772	Berhampur U	Berhampur University, India
	A04773	W Bengal U Tech	West Bengal University of Technology, India
	A04774	Vidyasagar U	Vidyasagar University, India
	A04775	TMBU	Tilka Manjhi Bhagalpur University, India
	A04776	Jiwaji U	Jiwaji University, India
	A04777	JNTU-H	Jawaharlal Nehru Technological University, Hyderabad, India
	A04778	Punjab Tech U	Punjab Technical University, India
	A04779	BRA Bihar U	BRA Bihar University, India
	A04780	MMU	Maharishi Markandeshwar University, India
	A04781	Gov Auton Coll	Government Autonomous College, India
	A04782	Nagpur U	Nagpur University, India
	A04783	Manipal U	Manipal University, India
	A04784	VKSU	Veer Kunwar Singh University, India
	A04785	Sharda Grp Inst	Sharda Group of Institutions, India
	A04786	MAEER	Maharashtra Academy of Engineering Education and Research, India
	A04787	MUICT	Institute of Chemical Technology, Mumbai, India
	A04788	U Luxembourg	University of Luxembourg
	A04789	Siberian St U	Siberian State University, Russia
	A04790	VNIITF	VNIITF, Russian Federal Nuclear Institute
	A04791	UCV	Catholic University of Valencia, Spain
	A04792	ASI	Italian Space Agency
A04792	A11376	ESRIN	European Space Research Institute
A04792	A11397	ASDC	ASI Science Data Center
	A04793	U Louvain	Universite Catholique de Louvain-la-Neuve, Belgium
A04793	A04794	Dep Phy	Universite Catholique de Louvain-la-Neuve, Department of Physics
A04793	A04795	Dep Ast Geop	Universite Catholique de Louvain-la-Neuve, Department of Astronomy and Geophysics
A04793	A04796	Ear Life Inst	Universite Catholique de Louvain-la-Neuve, Earth and Life Institute
	A04797	KACST	King Abdulaziz City for Science And Technology, Riyadh, Saudi Arabia
	A04798	TEI Serres	Technological Education Institute of Serres, Macedonia
	A04799	Chuo U	Chuo University, Japan
	A04800	NAS	National Academy of Sciences, Washington DC
	A04801	IHI Co	IHI Corporation, Japan
	A04802	RIST Japan	Research Organization for Information Science and Technology, Japan
	A04803	Shonan Inst Tech	Shonan Institute of Technology, Japan
	A04804	Aichi Toho U	Aichi Toho University, Japan
	A04805	Nikon	Nikon Corporation, Japan
	A04806	IGN	Institut National de l'Information Geographique et Forestiere, France
A04806	A13077	LAREG	Research Laboratory in Geodesy, Paris
	A04807	C2RMF	Centre de Recherche et de Restauration des Musees de France
	A04809	EUMETSAT	European Organization for the Exploration of Meteorological Satellites, Germany
	A04810	U Novi Sad	University of Novi Sad, Serbia
	A04811	AEC Syria	Atomic Energy Commission of Syria
	A04812	IAS Venez	Institute for Advanced Studies, Venezuela
	A04813	Estonian Agr U	Estonian Agricultural University
	A04814	CAS Beijing	Chinese Academy of Sciences, Beijing
A04814	A04815	IOP	CAS, Institute of Physics, Beijing
A04814	A04816	NSSC	CAS, National Space Science Center, Beijing
A04814	A04817	IMECH	CAS, Institute of Mechanics
A04814	A04818	ICCAS	CAS, Institute of Chemistry, Beijing
A04814	A04819	NAOC	CAS, National Astronomical Observatories
A04814	A04820	ICT	CAS, Institute of Computing Technology
A04814	A04821	DICP	CAS, Institute of Chemical Physics, Dalian
A04814	A04822	IGSNRR	CAS, Institute of Geographic Sciences and Natural Resources Research
A04814	A04823	IGG	CAS, Institute of Geology and Geophysics
A04814	A04824	IHEP	CAS, Institute of High Energy Physics, Beijing
A04814	A04825	ITP	CAS, Institute of Theoretical Physics, Beijing
A04814	A04826	Yunnan Obs	CAS, Yunnan Observatory
A04814	A04827	Pur Mt Obs	CAS, Purple Mountain Observatory
A04814	A04828	Shanghai Obs	CAS, Shanghai Observatory
A04814	A04829	IOS	CAS, Institute of Semiconductors, Beijing
A04814	A04830	RADI	CAS, Institute of Remote Sensing and Digital Earth, Beijing
A04814	A04831	UCAS	University of the Chinese Academy of Sciences, Beijing
A04814	A04832	IAP	CAS, Institute of Atmospheric Physics, Beijing
A04814	A04833	IEE	CAS, Institute of Electrical Engineering, Beijing
A04814	A04834	ITPR	CAS, Institute of Tibetan Plateau Research
A04814	A04835	TIPC	CAS, Technical Institute of Physics and Chemistry
A04814	A04836	AMSS	CAS, Academy of Mathematics and Systems Science
A04814	A04837	Xinjiang Obs	CAS, Xinjiang Observatory
A04814	A04838	NCNST	CAS, National Center for Nanoscience and Technology
A04814	A04839	AOE	CAS, Academy of Opto-Electronics
A04814	A04840	Changchun Obs	CAS, Changchun Observatory
A04814	A06246	JCGCS	Joint Center for Global Change Studies, Beijing
A04814	A06468	EAO	East Asian Observatory, Hawaii
A04814	A11562	BAC	CAS, Beijing Astrophysical Center
A04814	A11565	KIAA	Kavli Institute for Astronomy and Astrophysics
	A04841	UOIT	University of Ontario Institute of Technology, Canada
	A04842	RMI Belgium	Royal Meteorological Institute of Belgium
	A04843	ICHTJ Warsaw	Institute of Nuclear Chemistry and Technology, Warsaw, Poland
	A04844	IGiK Warsaw	Institute of Geodesy and Cartography, Warsaw, Poland
	A04845	Kielce U Tech	Kielce University of Technology, Poland
	A04846	DMI	Danish Meteorological Institute
	A04847	U Faroe Islands	University of the Faroe Islands
	A04848	Slovak Ac Sci	Slovak Academy of Sciences
A04848	A06028	ILC	International Laser Center, Bratislava, Slovakia
	A04849	U Plovdiv	University of Plovdiv, Bulgaria
	A04850	Klaipeda U	Klaipeda University, Lithuania
	A04851	Vilnius Ped U	Vilnius Pedagogical University, Lithuania
	A04852	Riga Tech U	Riga Technical University, Latvia
	A04853	U Suceava	Stefan cel Mare University of Suceava, Romania
	A04854	TU Iasi	Technical University of Iasi, Romania
	A04855	TU Kosice	Technical University of Kosice, Slovakia
	A04856	NILU	Norwegian Institute for Air Research
	A04857	MeteoSwiss	MeteoSwiss, Swiss Federal Office for Meteorology and Climatology
	A04858	KOPTI	Korea Photonics Technology Institute
	A04859	Samsung	Samsung Co, South Korea
	A04860	RIST Korea	Research Institute of Industrial Science and Technology, Korea
	A04861	BIRA	Belgian Institute for Space Aeronomy
	A04862	CIRA	Italian Aerospace Research Center
	A04863	Hokkaido Inst Tech	Hokkaido Institute of Technology, Japan
	A04864	ITC Okayama	Industrial Technology Center, Okayama Prefecture, Japan
	A04865	ITC Wakayama	Industrial Technology Center, Wakayama Prefecture, Japan
	A04866	NIRE	National Institute for Resources and Environment, Japan
	A04867	RIHN	Research Institute for Humanity and Nature, Kyoto, Japan
	A04868	Toyota	Toyota Industries Corporation, Japan
	A04869	U Kindai Himeji	University of Kindai Himeji, Japan
	A04870	ENSMM	Ecole Nationale Superieure de Mecanique et Microtechniques de Besancon, France
A04870	A04871	FEMTO-ST	Franche-Comte Electronics Mechanics Thermal Science and Optics - Sciences and Technologies, France
	A04872	U Algiers	University of Algiers, Algeria
	A04873	ENSHMG	Ecole Nationale Superieure de Hydraulique et Mecanique de Grenoble, France
	A04874	Jacobs U	Jacobs University, Bremen, Germany
	A04875	UFRR	Federal University of Roraima, Brazil
	A04876	UERN	State University of Rio Grande of the North, Brazil
	A04877	Inst U France	Institut Universitaire de France
	A04878	ITB Bandung	Institute of Technology Bandung, Indonesia
A04878	A04879	Bosscha Obs	Bosscha Observatory, Indonesia
A04878	A11522	Dep Ast	Institute of Technology Bandung, Department of Astronomy, Indonesia
	A04880	U Dakar	Cheikh Anta Diop University, Dakar, Senegal
	A04881	U Tunis	University of Tunis, Tunisia
	A04882	Kobe	Kobe Steel Ltd, Japan
	A04883	Qassim U	Qassim University, Saudi Arabia
	A04884	Art Inst Chicago	Art Institute of Chicago, Illinois
	A04885	OR St U Newport	Oregon State University, Newport, Oregon
	A04886	NSIT	Netaji Subhas Institute of Technology, India
	A04887	KIIT	Kalinga Institute of Industrial Technology, Bhubaneswar, India
	A04888	Liaoning Tech U	Liaoning Technical University, China
	A04889	Anhui U Sci Tech	Anhui University of Science and Technology, China
	A04890	Tibet U	Tibet University, China
	A04891	Nanjing U Tech	Nanjing University of Technology, China
	A04892	SW U Sci Tech	Southwest University of Science and Technology, China
	A04893	JHOD	Japan Hydrographic and Oceanographic Department
	A04894	U Craiova	University of Craiova, Romania
	A04895	Toppan	Toppan Printing Corporation, Japan
	A04896	RESTEC	Remote Sensing Technology Center of Japan
	A04897	Tohoku FRA	Tohoku National Fisheries Research Institute, Japan
	A04898	Okayama IQP	Okayama Institute for Quantum Physics, Japan
	A04900	Yuncheng U	Yuncheng University, China
	A04901	Jiliang U	China Jiliang University
	A04902	MOTC Taiwan	Ministry of Transport and Communications, Taiwan
	A04903	Ac Sci Cuba	Academy of Sciences, Cuba
	A04904	U Kelaniya	University of Kelaniya, Sri Lanka
	A04905	U Hassan II	University Hassan II Casablanca, Morocco
	A04906	DIAT	Defence Institute of Advanced Technology, Pune, India
	A04907	NRSC	National Remote Sensing Agency, India
	A04909	NIT Trichy	National Institute of Technology Tiruchirappalli, India
	A04910	CWB Taiwan	Central Weather Bureau, Taiwan
	A04911	AGU	American Geophysical Union, Washington DC
	A04912	Dhaka U	Dhaka University, Bangladesh
	A04913	Diponegoro U	Diponegoro University, Indonesia
	A04914	Open U Sri Lanka	Open University of Sri Lanka
	A04915	AZ St Dep	Arizona State Department
A04915	A04916	AZ Geo Surv	Arizona Geological Survey
	A04917	FNRS	Fonds de la Recherche Scientifique, Belgium
	A04918	Brit Lib	British Library Boston Spa, UK
	A04919	Cath U Brescia	Catholic University of Brescia, Italy
	A04920	Jt Ast Ctr	Joint Astronomy Center, Hawaii
	A04921	GTI	Gas Technology Institute
	A04922	Tokyo Metro Gov	Tokyo Metropolitan Government, Japan
	A04923	IRSST	Robert-Sauve Research Institute for Health and Safety at Work, Montreal, Canada
	A04924	Favaloro U	Favaloro University, Argentina
	A04925	Tribhuvan U Nepal	Tribhuvan University, Nepal
	A04926	Hubei Norm U	Hubei Normal University, China
	A04927	Austr Res Cncl	Australian Research Council
A04927	A06463	CLEX	Centre of Excellence for Climate Extremes
A04927	A11659	CODES	Centre of Excellence in Ore Deposits
A04927	A11660	ACECRC	Antarctic Climate and Ecosystems Cooperative Research Centre
A04927	A11661	CAASTRO	Centre of Excellence for All Sky Astrophysics
A04927	A11662	CCFS	Centre of Excellence for Core to Crust Fluid Systems
A04927	A11705	CoECSS	Centre of Excellence for Climate System Science
A04927	A11720	CQC2T	Centre for Quantum Computation and Communication Technology
	A04928	KNUST	Kwame Nkrumah University of Science and Technology, Ghana
	A04929	KazNU	Al-Farabi Kazakh National University, Kazakhstan
	A04930	Amer U Beirut	American University of Beirut, Lebanon
	A04931	IISER	Indian Institute of Science Education and Research, Calcutta, India
	A04932	Holon Inst Tech	Holon Institute of Technology, Israel
	A04933	U Namibia	University of Namibia
	A04934	U Nizwa	University of Nizwa, Oman
	A04935	Dubna Intl U	Dubna International University, Russia
	A04936	NITU	National University of Science and Technology, Moscow, Russia
	A04937	NIRFI	Radiophysical Research Institute, Moscow, Russia
	A04938	NovSTU	Novosibirsk State Technical University, Russia
	A04939	OSTU	Omsk State Technical University, Russia
	A04940	PSTU	Perm State Technical University, Russia
	A04941	Rostov Sthrn Fed U	Rostov Southern Federal University, Russia
A04941	A04942	Inst Phy	Rostov Southern Federal University, Institute of Physics
	A04943	Vavilov St Opt Inst	Vavilov State Optics Institute, Russia
	A04944	Syktyvkar For Inst	Syktyvkar Forest Institute, Russia
	A04945	BFAFi	Federal Research Center for Fisheries, Hamburg, Germany
	A04946	Ecole Cen Marseille	Ecole Centrale de Marseille, France
A04946	A05214	Inst Fresnel	Fresnel Institute, Marseille
	A04948	ENSCPB	Ecole Nationale Superieure de Chimie et de Physique, Bordeaux, France
	A04949	ISEN Lille	Institut Superieur d'Electronique Numeri, Lille, France
	A04950	Yerevan St U	Yerevan State University, Armenia
A04950	A11452	Garny Sp Ast Inst	Garny Space Astronomy Institute
A04950	A06552	CANDLE SRI	CANDLE Synchrotron Research Institute, Armenia
	A04951	BNRM	National Library of the Republic of Moldova
	A04952	VMU	Vytautas Magnus University, Lithuania
	A04953	Guiyang U	Guiyang University, China
	A04954	Jing Gangshan U	Jing Gangshan University, China
	A04955	Jiangsu U Tech	Jiangsu University of Technology, China
	A04956	Hankyong Natl U	Hankyong National University, Korea
	A04957	Khalifa U	Khalifa University of Science Technology and Research, UAE
	A04958	Wesleyan U	Wesleyan University, Connecticut
A04958	A11029	Dep Ast	Wesleyan University, Department of Astronomy
	A04959	U Sumatera Utara	Universitas Sumatera Utara, Indonesia
	A04960	Haluoleo U	Haluoleo University, Indonesia
	A04961	NUM	National University of Mongolia
	A04962	Sepuluh ITS	Sepuluh Nopember Institute of Technology, Indonesia
	A04963	U Negeri Malang	Universitas Negeri Malang, Indonesia
	A04964	FAAS	Fujian Academy of Agricultural Sciences, China
	A04965	UDSM	University of Dar es Salaam, Tanzania
	A04966	U Mhd V Agdal	University Mohammed V Agdal, Morocco
	A04967	FUTA	Federal University of Technology Akure, Nigeria
	A04968	U Benin	University of Benin, Nigeria
	A04969	U Bangui	University of Bangui, Central African Republic
	A04970	U Ouagadougou	University of Ouagadougou, Burkina Faso
	A04971	U Yaounde I	University of Yaounde I, Cameroon
	A04972	U Nigeria	University of Nigeria
	A04973	U Burundi	University of Burundi
	A04974	UAC Benin	University of Abomey-Calavi, Benin
	A04975	U Cadi Ayyad	University Cadi Ayyad, Morocco
	A04976	U Oran	University of Oran, Algeria
	A04977	U Asmara	University of Asmara, Eritrea
	A04978	Moi U	Moi University, Kenya
	A04979	U Nairobi	University of Nairobi, Kenya
	A04980	Kenyatta U	Kenyatta University, Kenya
	A04981	U Sidi Ben Abdellah	University Sidi Mhd Ben Abdellah, Morocco
	A04982	RSUST	Rivers State University of Science and Technology, Nigeria
	A04983	U Uyo	University of Uyo, Nigeria
	A04984	Damascus U	Damascus University, Syria
	A04985	Mbarara UST	Mbarara University of Science and Technology, Uganda
	A04986	U Zambia	University of Zambia
	A04987	NUST Zimbabwe	National University of Science and Technology, Zimbabwe
	A04988	U Ilorin	University of Ilorin, Nigeria
	A04989	Ibn Tofail U	Ibn Tofail University, Morocco
	A04990	U Baghdad	University of Baghdad, Iraq
	A04991	Sanaa U	Sanaa University, Yemen
	A04992	IIEES	International Institute of Earthquake Engineering and Seismology, Iran
	A04993	KN Toosi U	KN Toosi University, Iran
	A04994	Malek Ashtar U Tech	Malek Ashtar University of Technology, Iran
	A04995	MTI	Modern University for Technology and Information, Egypt
	A04996	KNU	Kiev Shevchenko National University, Ukraine
A04996	A05012	Main Ast Obs	Main Astronomical Observatory, Kiev
A04996	A11445	Dep Phy Ast	Shevchenko National University, Department of Physics and Astronomy
	A04998	NASU	National Academy of Sciences of Ukraine
A04998	A04999	IPE	NASU, Institute for Physics and Engineering, Donetsk
A04998	A05000	ICMP	NASU, Institute for Condensed Matter Physics, Lviv
A04998	A05001	IRPE	NASU, Institute of Radiophysics and Electronics, Kharkiv
A04998	A05002	ILTPE	NASU, Institute of Low Temperature Physics and Engineering, Kharkiv
A04998	A05003	KIPT	NASU, Institute of Physics and Technology, Kharkiv
A04998	A05004	IEP	NASU, Institute of Electron Physics, Uzhgorod
A04998	A05005	IRA	NASU, Institute of Radio Astronomy, Kharkiv
A04998	A05006	INR	NASU, Institute for Nuclear Research, Kiev
A04998	A05007	SRI	NASU, Dnepropetrovsk Scientific Research Institute
A04998	A05008	Crimean Ast Obs	Crimean Astrophysical Observatory
A04998	A05009	Inst Bot	NASU, Institute of Botany, Kiev
A04998	A05010	IGP	NASU, Institute of Geophysics, Kiev
A04998	A05011	Inst Mag	NASU, Institute of Magnetism, Kiev
A04998	A05012	Main Ast Obs	Main Astronomical Observatory, Kiev
A04998	A05013	ITP	NASU, Institute for Theoretical Physics, Kiev
A04998	A05014	IAPMMN	NASU, Institute for Applied Problems in Mechanics and Mathematics, Lviv
A04998	A05015	NMNH Kiev	Ukrainian National Museum of Natural History, Kiev
A04998	A11442	Ast Obs Odessa	Astronomical Observatory of Odessa
A04998	A11443	SRI Lviv	NASU, Space Research Institute, Lviv
	A05016	Karpov Inst Phy Chem	Karpov Institute of Physical Chemistry, Russia
	A05017	Roshydromet	Russian Center for Hydrometeorology and Environmental Monitoring
	A05018	AAI	Arctic and Antarctic Research Center, Russia
	A05019	Estonian Ac Sci	Estonian Academy of Sciences
A05019	A11467	Tartu Obs	Tartu Observatory
	A05020	Moldova St U	Moldova State University, Chisinau, Moldova
A05020	A11459	Ast Obs	Moldova State University, Astronomical Observatory
	A05021	TU Lublin	Technical University of Lublin, Poland
	A05022	Ped U Krakow	Pedagogical University of Krakow, Poland
	A05023	Austrian Arch Inst	Austrian Archaeological Institute
	A05024	DSTO Melbourne	Defence Science and Technology Organisation, Melbourne
	A05025	LIP	Laboratorio de Instrumentacao e Fisica Experimental de Particulas, Lisbon, Portugal
	A05026	Poly Inst Coimbra	Polytechnic Institute of Coimbra, Portugal
	A05027	INESC	Institute for Systems Engineering and Computers, Portugal
	A05028	TEI Piraeus	Technical Educational Institute of Piraeus, Greece
	A05029	TEI Ionian Islands	Technical Educational Institute of the Ionian Islands, Greece
	A05030	NCMR	Hellenic Center for Marine Research, Greece
	A05031	TEI Cnt Greece	Technical Educational Institute of Central Greece
	A05032	TEI Crete	Technical Educational Institute of Crete, Greece
	A05034	U W Macedonia	University of Western Macedonia
	A05035	Albanian Ac Sci	Albanian Academy of Sciences
	A05036	TU Tirana	Technical University of Tirana, Albania
	A05037	U Sarajevo	University of Sarajevo, Bosnia Herzegovina
	A05038	UACEG	University of Architecture Civil Engineering and Geodesy, Sofia, Bulgaria
	A05039	U Nis	University of Nis, Serbia
	A05040	Georgian NAS	Georgian National Academy of Sciences
A05040	A05041	Inst Phy	Georgian National Academy of Sciences, Institute of Physics
A05040	A05043	Inst Geop	Georgian National Academy of Sciences, Institute of Geophysics
A05040	A05229	Abast Ast Obs	Abastumani Astrophysical Observatory
	A05044	Tbilisi St U	Tbilisi State University, Georgia
A05044	A05045	Inst Phy	Tbilisi State University, Institute of Physics
	A05046	IMO Iceland	Iceland Meteorological Office
	A05047	ENU	Eurasian State National University, Kazakhstan
	A05048	VGTU	Vilnius Gediminas Technical University, Lithuania
	A05049	VUC	Ventspils University College, Latvia
A05049	A05050	IRAC	Ventspils International Radio Astronomy Center
	A05051	Moldova Ped U	Moldova Pedagogical University
	A05052	TSPU	Tomsk State Pedagogical University, Russia
	A05053	Lviv Franko Natl U	Lviv Franko National University, Russia
A05053	A11446	Dep Phy Ast	Lviv Franko National University, Department of Physics and Astronomy
	A05054	Odessa Natl U	Odessa Mechnikov National University, Ukraine
A05054	A11442	Ast Obs Odessa	Astronomical Observatory of Odessa
	A05055	BelSTU	Belarus State Technical University
	A05056	UAIC	Alexander Ioan Cuza University of Iasi, Romania
	A05057	UTC-N	Technical University of Cluj Napoca, Romania
	A05058	UOC	University of Constanta, Romania
	A05059	U Galati	Dunarea de Jos University of Galati, Romania
	A05060	UCLV	University Marta Abreu of Las Villas, Cuba
	A05061	U Camaguey	University of Camaguey, Cuba
	A05062	UCF	Carlos Rafael Rodriguez University of Cienfuegos, Cuba
	A05063	U Granma	University of Granma, Cuba
	A05064	U Havana	University of Havana, Cuba
	A05065	U Piura	University of Piura, Peru
	A05066	China U Geos	China University of Geosciences, Beijing
	A05067	Natl U Eng	National University of Engineering, Peru
	A05068	Alberta Res Cncl	Alberta Research Council, Canada
	A05069	Astrakhan St U	Astrakhan State University, Russia
	A05070	Fanshawe Coll	Fanshawe College, Canada
	A05071	NSERC	National Sciences and Engineering Research Council, Canada
A05071	A05072	CITA	Canadian Institute for Theoretical Astrophysics
	A05073	NICPB	National Institute of Chemical Physics and Biophysics, Estonia
	A05074	Intl Space U	International Space University, France
	A05075	Geo Surv DK	Geological Survey of Denmark and Greenland
	A05076	MET Norway	Norwegian Meteorological Institute
	A05077	VRU	Vali Asr University of Rafsanjan, Iran
	A05078	Sahand U Tech	Sahand University of Technology, Iran
	A05079	CONACYT Mex	National Council for Science and Technology, Mexico
A05079	A05080	CIO	Center for Research in Optics, Mexico
A05079	A05081	INAOE	National Institute of Astrophysics, Optics and Electronics, Mexico
A05079	A05082	CICY	Center of Scientific Research of Yucatan, Mexico
A05079	A05083	CICESE	Ensenada Center for Research and Higher Education
	A05084	Houston Adv Res Ctr	Houston Advanced Research Center, Texas
	A05085	Jahangirnagar U	Jahangirnagar University, Bangladesh, India
	A05086	UEA	State University of Amazonas, Brazil
	A05087	NIT Toyama Coll	National Institute of Technology, Toyama College, Japan
	A05088	NIT Numazu Coll	National Institute of Technology, Numazu College, Japan
	A05089	NIT Yonago Coll	National Institute of Technology, Yonago College, Japan
	A05090	Urmia U	Urmia University, Iran
	A05091	UNAN	National Autonomous University of Nicaragua
	A05092	NYAS	New York Academy of Sciences
	A05093	AM Essaadi U	Abdelmalek Essaadi University, Morocco
	A05094	Golan Res Inst	Golan Research Institute, Israel
	A05095	RAAF	Royal Australian Air Force
	A05096	Shaanxi U Tech	Shaanxi University of Technology, China
	A05097	Shangqiu Norm U	Shangqiu Normal University, China
	A05098	TYUST	Taiyuan University of Science and Technology, China
	A05099	CAAA	China Academy of Aerospace Aerodynamics
	A05100	Henan Inst Eng	Henan Institute of Engineering, China
	A05101	ZZULI	Zhengzhou University of Light Industry, China
	A05102	Chuzhou U	Chuzhou University, China
	A05103	Shanxi Datong U	Shanxi Datong University, China
	A05104	Hubei U Educ	Hubei University of Education, China
	A05105	Hunan Inst Tech	Hunan Institute of Technology, China
	A05106	Nanjing Inst Tech	Nanjing Institute of Technology, China
	A05108	QNU	Quanzhou Normal University, China
	A05109	HUST	Hanoi University of Science and Technology, Vietnam
	A05110	Guangdong Dep Educ	Guangdong Province Department of Education, China
	A05111	XAUST	Xian University of Science and Technology, China
	A05113	XYNU	Xinyang Normal University, China
	A05114	SUCT	Shenyang University of Chemical Technology, China
	A05115	HUHST	Hunan University of Humanities Science and Technology, China
	A05116	NIN China	Northwest Institute for Non-Ferrous Metal Research, China
	A05117	ZAMG	Central Institute for Meteorology and Geodynamics, Austria
	A05118	WRC Davos	World Radiation Center, Davos, Switzerland
	A05119	East West U	East West University, Bangladesh
	A05120	NLSI	Iceland National Land Survey
	A05121	JKUAT	Jomo Kenyatta University of Agriculture and Technology, Kenya
	A05122	Kazakh NAS	Kazakhstan National Academy of Sciences
A05122	A11454	Ast Inst	Kazakhstan National Academy of Sciences, Astrophysical Institute
	A05123	Mongolian Ac Sci	Mongolian Academy of Sciences
	A05124	U Malaysia Perlis	University Malaysia Perlis
	A05125	UPNG	University of Papua New Guinea
	A05126	U Nova Gorica	University of Nova Gorica, Slovenia
	A05127	IFPB	Federal Institute of Education Science and Technology, Paraiba, Brazil
	A05128	IPEN Brazil	Energy and Nuclear Research Institute, Brazil
